CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;1310720000;0;49358000;25830142;0;0;0;0;0;0;23527858;25830142;4682;18318;6819;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MIN;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;1.79769e+308;1.79769e+308;1.79769e+308;1310720000;0;49358000;25830142;0;0;0;0;0;0;23527858;25830142;4682;18318;6819;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-AVG;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;-nan;-nan;-nan;1.31072e+09;0;4.9358e+07;2.58301e+07;0;0;0;0;0;0;2.35279e+07;2.58301e+07;4682;18318;6819;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MEDIAN;associative;1;2048;random;0;0;0;0;0;1;0;0;1;6536;1;-nan;-nan;-nan;1310720000;0;49358000;25830142;0;0;0;0;0;0;23527858;25830142;4682;18318;6819;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-VAR;associative;1;2048;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2206;1;0.141;0.614;0.073;262144;20489;57437;45205;0;0;0;0;0;0;14279;14393;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2206;1;0.141;0.614;0.073;262144;20489;57437;45205;0;0;0;0;0;0;14279;14393;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2206;1;0.141;0.614;0.073;262144;20489;57437;45205;0;0;0;0;0;0;14279;14393;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2206;1;0.141;0.614;0.073;262144;20489;57437;45205;0;0;0;0;0;0;14279;14393;1;6;6;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.585;0.004;1048576;52551210;34420076;26031502;0;0;0;0;0;0;8390621;58767395;188;3911;3911;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.585;0.004;1048576;52551210;34420076;26031502;0;0;0;0;0;0;8390621;58767395;188;3911;3911;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.585;0.004;1.04858e+06;5.25512e+07;3.44201e+07;2.60315e+07;0;0;0;0;0;0;8.39062e+06;5.87674e+07;188;3911;3911;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.585;0.004;1048576;52551210;34420076;26031502;0;0;0;0;0;0;8390621;58767395;188;3911;3911;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.575;0.004;1048576;602308618;68914816;6040215;0;0;0;0;0;0;62876648;444535832;28279;2691;2691;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.575;0.004;1048576;602308618;68914816;6040215;0;0;0;0;0;0;62876648;444535832;28279;2691;2691;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.575;0.004;1.04858e+06;6.02309e+08;6.89148e+07;6.04022e+06;0;0;0;0;0;0;6.28766e+07;4.44536e+08;28279;2691;2691;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.575;0.004;1048576;602308618;68914816;6040215;0;0;0;0;0;0;62876648;444535832;28279;2691;2691;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingSingleHold-MAX;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.59;0.005;1048576;0;165937678;109933806;0;0;0;0;0;0;56005919;392260321;40383;41697;14338;0;0;0;0;0;0;27360;0
FilledCacheProfilingSingleHold-MIN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.59;0.005;1048576;0;165937678;109933806;0;0;0;0;0;0;56005919;392260321;40383;41697;14338;0;0;0;0;0;0;27360;0
FilledCacheProfilingSingleHold-AVG;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.59;0.005;1.04858e+06;0;1.65938e+08;1.09934e+08;0;0;0;0;0;0;5.60059e+07;3.9226e+08;40383;41697;14338;0;0;0;0;0;0;27360;0
FilledCacheProfilingSingleHold-MEDIAN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.59;0.005;1048576;0;165937678;109933806;0;0;0;0;0;0;56005919;392260321;40383;41697;14338;0;0;0;0;0;0;27360;0
FilledCacheProfilingSingleHold-VAR;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingGroupElim-MAX;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.583;0.002;1048576;0;19541606;937523;0;0;0;0;0;0;18606130;130324430;8938;9242;153;0;0;0;0;0;0;9090;0
FilledCacheProfilingGroupElim-MIN;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.583;0.002;1048576;0;19541606;937523;0;0;0;0;0;0;18606130;130324430;8938;9242;153;0;0;0;0;0;0;9090;0
FilledCacheProfilingGroupElim-AVG;associative;1;2048;random;0;0;0;0;4;1;50;1000;1;2048;1;0;0.583;0.002;1.04858e+06;0;1.95416e+07;937523;0;0;0;0;0;0;1.86061e+07;1.30324e+08;8938;9242;153;0;0;0;0;0;0;9090;0
