CfgEvaluationType;CfgCacheType;CfgNSets;CfgNWays;CfgReplAlg;CfgCParam0;CfgCParam1;CfgCParam2;CfgCParam3;CfgEvSetFactor;CfgNExperiments;CfgNProfileRuns;CfgNEvalRuns;CfgUseFlush;AddrFound;TPR;EvSR;EvSRwEvict;EvSRwFlush;AttackMem;Attacker-RdHits;Attacker-RdMisses;Attacker-RdEvictions;Attacker-WrHits;Attacker-WrMisses;Attacker-WrEvictions;Attacker-ExecHits;Attacker-ExecMisses;Attacker-ExecEvictions;Attacker-InvHits;Attacker-InvMisses;Victim-RdHits;Victim-RdMisses;Victim-RdEvictions;Victim-WrHits;Victim-WrMisses;Victim-WrEvictions;Victim-ExecHits;Victim-ExecMisses;Victim-ExecEvictions;Victim-InvHits;Victim-InvMisses
EvictionSetSizeP90-MAX;associative;1;256;random;0;0;0;0;0;1;0;0;1;806;1;-1.79769e+308;-1.79769e+308;-1.79769e+308;163840000;0;6106500;3175114;0;0;0;0;0;0;2931386;3175114;4781;18219;6720;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MIN;associative;1;256;random;0;0;0;0;0;1;0;0;1;806;1;1.79769e+308;1.79769e+308;1.79769e+308;163840000;0;6106500;3175114;0;0;0;0;0;0;2931386;3175114;4781;18219;6720;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-AVG;associative;1;256;random;0;0;0;0;0;1;0;0;1;806;1;-nan;-nan;-nan;1.6384e+08;0;6.1065e+06;3.17511e+06;0;0;0;0;0;0;2.93139e+06;3.17511e+06;4781;18219;6720;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-MEDIAN;associative;1;256;random;0;0;0;0;0;1;0;0;1;806;1;-nan;-nan;-nan;163840000;0;6106500;3175114;0;0;0;0;0;0;2931386;3175114;4781;18219;6720;0;0;0;0;0;0;11499;1
EvictionSetSizeP90-VAR;associative;1;256;random;0;0;0;0;0;1;0;0;1;0;0;-nan;-nan;-nan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MAX;associative;1;256;random;0;0;0;0;4;1;50;1000;1;268;1;0.097;0.602;0.057;32768;2563;7141;5614;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MIN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;268;1;0.097;0.602;0.057;32768;2563;7141;5614;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-AVG;associative;1;256;random;0;0;0;0;4;1;50;1000;1;268;1;0.097;0.602;0.057;32768;2563;7141;5614;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-MEDIAN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;268;1;0.097;0.602;0.057;32768;2563;7141;5614;0;0;0;0;0;0;1782;1802;0;7;7;0;0;0;0;0;0;0;0
FilledCacheProfilingLRU-VAR;associative;1;256;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MAX;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.014;0.57;0.006;131072;653134;519184;393472;0;0;0;0;0;0;125967;885745;29;465;465;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MIN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.014;0.57;0.006;131072;653134;519184;393472;0;0;0;0;0;0;125967;885745;29;465;465;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-AVG;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.014;0.57;0.006;131072;653134;519184;393472;0;0;0;0;0;0;125967;885745;29;465;465;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-MEDIAN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.014;0.57;0.006;131072;653134;519184;393472;0;0;0;0;0;0;125967;885745;29;465;465;0;0;0;0;0;0;0;0
FilledCacheProfilingPLRU-VAR;associative;1;256;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FilledCacheProfiling-MAX;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.007;0.558;0.008;131072;3317276;764504;115903;0;0;0;0;0;0;648858;4680038;2219;383;381;0;0;0;0;0;0;0;0
FilledCacheProfiling-MIN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.007;0.558;0.008;131072;3317276;764504;115903;0;0;0;0;0;0;648858;4680038;2219;383;381;0;0;0;0;0;0;0;0
FilledCacheProfiling-AVG;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.007;0.558;0.008;131072;3.31728e+06;764504;115903;0;0;0;0;0;0;648858;4.68004e+06;2219;383;381;0;0;0;0;0;0;0;0
FilledCacheProfiling-MEDIAN;associative;1;256;random;0;0;0;0;4;1;50;1000;1;256;1;0.007;0.558;0.008;131072;3317276;764504;115903;0;0;0;0;0;0;648858;4680038;2219;383;381;0;0;0;0;0;0;0;0
FilledCacheProfiling-VAR;associative;1;256;random;0;0;0;0;4;1;50;1000;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
